Name,geo_lat,geo_lon,population,year
Красноярск,56.0093879,92.8524806,973826,1628
Лесосибирск,58.221681,92.5037872,61146,1975
Минусинск,53.7104586,91.6872907,71171,1739
Назарово,56.0113799,90.4168775,52829,1700
Норильск,69.3489978,88.2009846,175301,1935
Сосновоборск,56.1202647,93.3354121,33090,1971
Ужур,55.3141969,89.8333918,16079,1760
Уяр,55.8131263,94.3282601,12666,1760
Шарыпово,55.5389739,89.1801044,38570,1700
Далматово,56.262114,62.9387011,13913,1644
Катайск,56.290809,62.5800359,14017,1655
Курган,55.4443883,65.3161963,333640,1679
Куртамыш,54.9368539,64.4203722,17098,1745
Макушино,55.2153947,67.2451705,8337,1797
Петухово,55.0650077,67.8873408,11291,1779
Шадринск,56.0870344,63.6297182,77744,1662
Шумиха,55.2280246,63.2901272,17821,1892
Щучье,55.2087637,62.7478548,10971,1750
Магадан,59.5681332,150.8084956,95925,1929
Сусуман,62.7805882,148.1540281,5865,1938
Апатиты,67.5677761,33.4067929,59690,1926
Гаджиево,69.2491311,33.315341,11089,1957
Заозерск,69.4003584,32.4501496,11206,1958
Заполярный,69.4132852,30.7984312,15835,1956
Кировск,67.6150424,33.663735,28659,1929
Ковдор,67.5661417,30.4741941,18836,1953
Мончегорск,67.9386153,32.9359719,45381,1937
Мурманск,69.007721,33.0685865,307664,1916
Оленегорск,68.1422058,33.2669407,23079,1949
Островной,68.0510344,39.5077846,2177,1611
Полярные Зори,67.373084,32.4975636,15106,1968
Полярный,69.1989583,33.4508591,17304,1896
Североморск,69.0766801,33.4177759,50076,1896
Снежногорск,69.1921409,33.2383502,12698,1970
Нарьян-Мар,67.6379672,53.0069565,21296,1929
Барабинск,55.35146,78.3464506,30250,1893
Бердск,54.7582156,83.1070605,98809,1944
Болотное,55.6692421,84.3906889,16969,1805
Искитим,54.6267603,83.2951244,60072,1717
Карасук,53.7343189,78.0422967,28929,1912
Каргат,55.1945666,80.2829495,10620,1700
Куйбышев,55.4685094,78.3242048,47278,1722
Купино,54.366055,77.2973368,15448,1886
Новосибирск,55.028191,82.9211489,1498921,1893
Обь,54.9945576,82.6937181,26137,1934
Татарск,55.2146167,75.9739914,26114,1894
Тогучин,55.2251631,84.4104118,21531,1867
Черепаново,54.2206476,83.3724521,19346,1912
Чулым,55.0906867,80.9592508,11964,1762
Исилькуль,54.9096002,71.2816284,25905,1895
Калачинск,55.0598155,74.5653644,24000,1952
Называевск,55.5689323,71.3503426,12119,1910
Омск,54.9848566,73.3674517,1154000,1716
Тара,56.9160511,74.3649194,26664,1594
Тюкалинск,55.8703415,72.1954747,12050,1759
Гай,51.4649189,58.4436875,38302,1959
Новотроицк,51.1964202,58.3018192,97914,1920
Орск,51.2294282,58.4752777,238006,1735
Ясный,51.036838,59.874344,16082,1961
Арсеньев,44.1622031,133.2696209,56742,1902
Артем,43.3501675,132.1596175,102636,1924
Большой Камень,43.1111742,132.3480082,39257,1947
Владивосток,43.1164904,131.8823937,592069,1860
Дальнегорск,44.5539457,135.5662716,37503,1897
Дальнереченск,45.9308483,133.7316907,27601,1859
Лесозаводск,45.4780092,133.4186199,36975,1932
Находка,42.8239372,132.8927361,159695,1864
Партизанск,43.1280578,133.1264567,38648,1896
Спасск-Дальний,44.5901175,132.8157288,44166,1886
Уссурийск,43.7971818,131.9518229,157946,1866
Фокино,42.9706317,132.4110196,23683,1891
Александровск-Сахалинский,50.8974378,142.1578559,10613,1869
Анива,46.713152,142.5265804,8449,1886
Долинск,47.3255783,142.7945071,12200,1884
Корсаков,46.6324545,142.799445,33526,1853
Курильск,45.2270954,147.8796323,2070,1700
